HpoCode	ICD	ICDdescription	HpoDescription	PheCode	PheCodeDescription	version	cluster	subset
HP:0000020	N39.498	Total incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.41	Urge incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.492	Postural (urinary) incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.49	Other specified urinary incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.4	Other specified urinary incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	788.34	Incontinence without sensory awareness	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	R32	Unspecified urinary incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	788.31	Urge incontinence	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.32	Stress incontinence, male	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.3	Urinary incontinence	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.30	Urinary incontinence NOS	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.35	Post-void dribbling	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.36	Nocturnal enuresis	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.33	Mixed incontinence (female) (male)	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.37	Continuous leakage of urine	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	788.39	Other urinary incontinence	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	N39.45	Continuous leakage	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.46	Urge and stress incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.490	Overflow incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.491	Coital incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	788.38	Overflow incontinence	Urinary incontinence	599.4	Urinary incontinence	9	4	Pediatric
HP:0000020	N39.44	Nocturnal enuresis	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.42	Insensible (urinary) incontinence	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000020	N39.43	Post-void dribbling	Urinary incontinence	599.4	Urinary incontinence	10	4	Pediatric
HP:0000252	Q03.8	Other congenital hydrocephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q03.8	Other congenital hydrocephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q03.1	Dandy-Walker syndrome	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q03.1	Dandy-Walker syndrome	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	742.3	Congenital hydrocephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.3	Congenital hydrocephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	Q03.9	Congenital hydrocephalus, unspecified	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q03.9	Congenital hydrocephalus, unspecified	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.3	Other congenital cauda equina malformations	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.3	Other congenital cauda equina malformations	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	742.59	Other specified congenital anomalies of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.59	Other specified congenital anomalies of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	742.4	Other specified congenital anomalies of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.4	Other specified congenital anomalies of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	742.5	Other specified congenital anomalies of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.5	Other specified congenital anomalies of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	742.51	Diastematomyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.51	Diastematomyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	Q03	hydrocephalus in newborn	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q03	hydrocephalus in newborn	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.4	Septo-optic dysplasia of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.4	Septo-optic dysplasia of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	742.8	Other specified congenital anomalies of nervous system	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.8	Other specified congenital anomalies of nervous system	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	Q02	micrencephalon	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q02	micrencephalon	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.4	Hydrorachis	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.4	Hydrorachis	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	G90.1	Familial dysautonomia [Riley-Day]	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	G90.1	Familial dysautonomia [Riley-Day]	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.8	Other specified congenital malformations of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.8	Other specified congenital malformations of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.2	Diastematomyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.2	Diastematomyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	742.1	Microcephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.1	Microcephalus	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	742.2	Congenital reduction deformities of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.2	Congenital reduction deformities of brain	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	Q06.8	Other specified congenital malformations of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.8	Other specified congenital malformations of spinal cord	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q06.9	Congenital malformation of spinal cord, unspecified	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q06.9	Congenital malformation of spinal cord, unspecified	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q07.8	Other specified congenital malformations of nervous system	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q07.8	Other specified congenital malformations of nervous system	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	742.53	Hydromyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	1	Pediatric
HP:0000252	742.53	Hydromyelia	Microcephaly	752.2	Other specified congenital anomalies of nervous system	9	2	Pediatric
HP:0000252	Q04.2	Holoprosencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
HP:0000252	Q04.2	Holoprosencephaly	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	2	Pediatric
HP:0000252	Q04.3	Pachygyria	Microcephaly	752.2	Other specified congenital anomalies of nervous system	10	1	Pediatric
